loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_prad,koi_teq,koi_insol,koi_dor,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
5555,10153855,K01981.01,Kepler-1037 b,CONFIRMED,1.063788610,0.4660,1.07200,2.5150e+02,0.014732,1.61,1650.0,1761.19,6.870000,5265.00,4.400,0.4600,1.0020,0.9190
5565,4178606,K02728.01,Kepler-1326 b,CONFIRMED,42.352003900,0.6590,7.77300,5.1260e+02,0.021934,6.30,938.0,182.91,32.500000,6864.00,3.783,-0.1600,2.6320,1.5350
5566,5980208,K02742.01,Kepler-1331 b,CONFIRMED,0.789160884,0.3760,0.92680,2.1510e+02,0.013424,0.91,1244.0,564.46,6.160000,4258.00,4.635,-0.1800,0.6220,0.6100
5570,8036287,K03984.01,Kepler-1537 b,CONFIRMED,1.444452340,0.1620,0.97530,2.0070e+02,0.012845,2.03,1800.0,2479.44,11.330000,5305.00,4.088,0.2400,1.4490,0.9390
5583,11187436,K01804.01,Kepler-957 b,CONFIRMED,5.907414760,0.1770,1.01600,5.5690e+03,0.067630,5.10,769.0,82.73,46.800000,4963.00,4.585,-0.4200,0.6900,0.6670
5587,9823519,K02793.01,Kepler-1350 b,CONFIRMED,4.496860660,0.0180,1.73060,1.9325e+03,0.039901,1.93,535.0,19.34,20.650000,3698.00,4.810,-0.2000,0.4440,0.4640
5589,7047824,K02806.01,Kepler-1353 b,CONFIRMED,24.754384900,0.7090,3.39000,5.9330e+02,0.023886,2.10,491.0,13.70,41.200000,4852.00,4.519,0.2000,0.8040,0.7780
5594,11358389,K02163.02,Kepler-365 c,CONFIRMED,17.783829800,0.1150,3.99700,2.4710e+02,0.014378,1.60,729.0,66.87,34.260000,6014.00,4.436,-0.0400,1.0210,1.0370
5611,5807769,K02614.01,Kepler-1289 b,CONFIRMED,7.990223790,0.1070,3.27300,1.6590e+02,0.011686,1.97,1113.0,361.73,18.770000,5689.00,4.065,0.0200,1.5420,1.0070
5637,6041734,K02167.03,Kepler-1129 c,CONFIRMED,76.536953100,0.3270,5.57400,6.5220e+02,0.023329,3.73,503.0,15.15,101.700000,5596.00,4.105,0.1400,1.4660,0.9980
5671,11075429,K02198.01,Kepler-1137 b,CONFIRMED,23.921040800,0.9360,5.17400,1.5830e+02,0.013956,3.01,1020.0,255.65,13.820000,7121.00,4.031,-0.1200,1.9720,1.5210
